T,Pressure,Tpot,Tdew,VPmax,VPdef,VPact,Date
0.71,1008.89,273.18,-1.33,6.43,0.89,5.54,2020-01-01 00:10:00
0.75,1008.76,273.22,-1.44,6.45,0.95,5.49,2020-01-01 00:20:00
0.73,1008.66,273.21,-1.48,6.44,0.96,5.48,2020-01-01 00:30:00
0.37,1008.64,272.86,-1.64,6.27,0.86,5.41,2020-01-01 00:40:00
0.33,1008.61,272.82,-1.5,6.26,0.79,5.47,2020-01-01 00:50:00
0.34,1008.44,272.84,-1.54,6.26,0.81,5.45,2020-01-01 01:00:00
0.19,1008.49,272.69,-1.65,6.19,0.78,5.41,2020-01-01 01:10:00
0.11,1008.29,272.63,-1.61,6.16,0.73,5.43,2020-01-01 01:30:00
0.22,1008.28,272.73,-1.62,6.2,0.78,5.42,2020-01-01 01:40:00
-0.04,1008.24,272.48,-1.85,6.09,0.76,5.33,2020-01-01 01:50:00
-0.21,1008.32,272.3,-1.78,6.01,0.66,5.36,2020-01-01 02:00:00
-0.1,1008.24,272.42,-1.74,6.06,0.69,5.37,2020-01-01 02:10:00
-0.16,1008.35,272.35,-1.88,6.04,0.72,5.32,2020-01-01 02:20:00
-0.22,1008.3,272.3,-1.82,6.01,0.67,5.34,2020-01-01 02:30:00
-0.06,1008.4,272.45,-1.77,6.08,0.72,5.36,2020-01-01 02:40:00
-0.17,1008.39,272.34,-1.81,6.03,0.69,5.35,2020-01-01 02:50:00
-0.05,1008.46,272.45,-1.71,6.09,0.7,5.39,2020-01-01 03:00:00
-0.21,1008.15,272.31,-1.84,6.01,0.68,5.33,2020-01-01 03:10:00
-0.77,1008.07,271.77,-2.31,5.78,0.62,5.15,2020-01-01 03:20:00
-0.93,1008.12,271.61,-2.26,5.71,0.54,5.17,2020-01-01 03:30:00
-0.86,1008.04,271.68,-2.17,5.73,0.53,5.21,2020-01-01 03:40:00
-0.87,1008.16,271.66,-2.16,5.73,0.52,5.21,2020-01-01 03:50:00
-1.02,1008,271.52,-2.31,5.67,0.52,5.15,2020-01-01 04:00:00
-1.15,1007.76,271.41,-2.37,5.61,0.48,5.13,2020-01-01 04:10:00
-1.08,1007.84,271.47,-2.25,5.64,0.47,5.17,2020-01-01 04:20:00
-1.59,1007.85,270.96,-2.93,5.43,0.52,4.92,2020-01-01 04:30:00
-1.82,1008.02,270.72,-2.92,5.34,0.42,4.92,2020-01-01 04:40:00
-1.84,1007.92,270.71,-2.9,5.33,0.41,4.93,2020-01-01 04:50:00
-1.84,1007.63,270.73,-2.78,5.34,0.36,4.97,2020-01-01 05:00:00
-2.14,1007.63,270.44,-3.21,5.22,0.4,4.82,2020-01-01 05:10:00
-2.34,1007.9,270.21,-3.26,5.14,0.34,4.8,2020-01-01 05:20:00
-2.2,1007.99,270.35,-3.05,5.2,0.32,4.87,2020-01-01 05:30:00
-2.3,1007.85,270.25,-3.18,5.15,0.32,4.83,2020-01-01 05:40:00
-2.4,1007.81,270.16,-3.21,5.12,0.3,4.82,2020-01-01 05:50:00
-2.51,1007.81,270.05,-3.34,5.08,0.3,4.77,2020-01-01 06:00:00
-2.83,1007.91,269.72,-3.64,4.96,0.29,4.66,2020-01-01 06:10:00
-2.79,1008.06,269.75,-3.53,4.97,0.27,4.7,2020-01-01 06:20:00
-2.74,1008.22,269.79,-3.45,4.99,0.26,4.73,2020-01-01 06:30:00
-2.63,1008.19,269.9,-3.31,5.03,0.25,4.78,2020-01-01 06:40:00
-2.5,1008.21,270.02,-3.19,5.08,0.25,4.82,2020-01-01 06:50:00
-2.26,1008.17,270.27,-2.94,5.17,0.26,4.91,2020-01-01 07:00:00
-2.31,1008.16,270.23,-3.09,5.15,0.29,4.86,2020-01-01 07:10:00
-2.53,1008.17,270,-3.39,5.07,0.31,4.75,2020-01-01 07:20:00
-2.68,1008.13,269.86,-3.49,5.01,0.3,4.72,2020-01-01 07:30:00
-2.73,1008.25,269.79,-3.53,4.99,0.29,4.7,2020-01-01 07:40:00
-2.79,1008.17,269.74,-3.57,4.97,0.28,4.69,2020-01-01 07:50:00
-2.84,1008.16,269.69,-3.6,4.95,0.27,4.68,2020-01-01 08:00:00
